,SCA,xmid,ymid,ramid,decmid,xmin,ymin,xmax,ymax,straylight_total,mainoffender_total
21,1,1277,2810,206.584816325407,49.169265220919684,1022,2555,1533,3066,0.0020369634,4492
22,1,1277,3321,206.60569609801738,49.16225502833196,1022,3066,1533,3577,0.0020481336,4492
23,1,1277,3832,206.62656995108983,49.15524107489143,1022,3577,1533,4088,0.001989427,4492
24,1,1788,255,206.49135452428985,49.218147096188126,1533,0,2044,511,0.0020918166,4492
25,1,1788,766,206.5122681665072,49.211153764598976,1533,511,2044,1022,0.0020395422,4492
26,1,1788,1277,206.53317589859938,49.20415665586349,1533,1022,2044,1533,0.0020068141,4492
27,1,1788,1788,206.55407771750566,49.197155772982306,1533,1533,2044,2044,0.0020493427,4492
28,1,1788,2299,206.57497362017327,49.19015111895794,1533,2044,2044,2555,0.0020846708,4492
29,1,1788,2810,206.5958636035574,49.18314269679474,1533,2555,2044,3066,0.0020600131,4492
30,1,1788,3321,206.61674766462136,49.17613050949906,1533,3066,2044,3577,0.002085758,4492
31,1,1788,3832,206.63762580033645,49.16911456007902,1533,3577,2044,4088,0.0020962814,4492
32,1,2299,255,206.50238647139471,49.23203347754537,2044,0,2555,511,0.0020462011,4492
33,1,2299,766,206.5233044311355,49.22503815676639,2044,511,2555,1022,0.0020964218,4492
34,1,2299,1277,206.5442164749295,49.21803905755962,2044,1022,2555,1533,0.0020651268,4492
35,1,2299,1788,206.56512259971697,49.21103618292782,2044,1533,2555,2044,0.0020436482,4492
36,1,2299,2299,206.5860228024461,49.20402953587565,2044,2044,2555,2555,0.0021143032,4492
37,1,2299,2810,206.60691708007312,49.19701911940963,2044,2555,2555,3066,0.0020546878,4492
38,1,2299,3321,206.62780542956233,49.19000493653818,2044,3066,2555,3577,0.0020637999,4492
39,1,2299,3832,206.64868784788598,49.1829869902716,2044,3577,2555,4088,0.0020686714,4492
40,1,2810,255,206.51342462133118,49.24591880681729,2555,0,3066,511,0.0020732945,4492
41,1,2810,766,206.53434689859245,49.23892149597652,2555,511,3066,1022,0.0020333931,4492
42,1,2810,1277,206.55526325407965,49.23192040542727,2555,1022,3066,1533,0.002080492,4492
43,1,2810,1788,206.57617368473396,49.22491553817446,2555,1533,3066,2044,0.0021227913,4492
44,1,2810,2299,206.5970781875046,49.21790689722485,2555,2044,3066,2555,0.002087194,594
45,1,2810,2810,206.61797675934875,49.210894485587126,2555,2555,3066,3066,0.0021086517,4492
46,1,2810,3321,206.6388693972318,49.203878306271854,2555,3066,3066,3577,0.0020376346,4492
47,1,2810,3832,206.659756098127,49.19685836229142,2555,3577,3066,4088,0.0019998092,4492
48,1,3321,255,206.52446897851212,49.2598030808273,3066,0,3577,511,0.0020396197,4492
49,1,3321,766,206.5453955732879,49.25280377905247,3066,511,3577,1022,0.0021036568,4492
50,1,3321,1277,206.5663162404566,49.24580069628927,3066,1022,3577,1533,0.0020713615,4492
51,1,3321,1788,206.58723097696037,49.23879383554476,3066,1533,3577,2044,0.002094903,4492
52,1,3321,2299,206.60813977974942,49.23178319982782,3066,2044,3577,2555,0.0020732533,4492
53,1,3321,2810,206.62904264578202,49.22476879214926,3066,2555,3577,3066,0.0020628287,4492
54,1,3321,3321,206.6499395720245,49.2177506155218,3066,3066,3577,3577,0.0020836946,4492
55,1,3321,3832,206.67083055545115,49.21072867295997,3066,3577,3577,4088,0.002051037,4492
56,1,3832,255,206.53551954735346,49.27368629639802,3577,0,4088,511,0.0020470533,4492
57,1,3832,766,206.55645045963473,49.266685002816615,3577,511,4088,1022,0.0020609342,4492
58,1,3832,1277,206.57737543847023,49.25967992696773,3577,1022,4088,1533,0.002038265,4492
59,1,3832,1788,206.59829448080308,49.25267107186051,3577,1533,4088,2044,0.00205991,4492
60,1,3832,2299,206.61920758358445,49.24565844050602,3577,2044,4088,2555,0.002095737,4492
61,1,3832,2810,206.64011474377372,49.23864203591725,3577,2555,4088,3066,0.0020453224,4492
62,1,3832,3321,206.66101595833814,49.231621861108984,3577,3066,4088,3577,0.0019969235,4492
63,1,3832,3832,206.6819112242531,49.22459791909791,3577,3577,4088,4088,0.0020544482,4492
0,2,255,255,206.2608730139407,49.242522335888445,0,0,511,511,0.0020580858,594
1,2,255,766,206.2814036457865,49.23576207982799,0,511,511,1022,3625.2156,1
2,2,255,1277,206.30192866420865,49.22899818420804,0,1022,511,1533,0.002022567,4492
3,2,255,1788,206.3224480662433,49.22223065181806,0,1533,511,2044,0.0020483437,4492
4,2,255,2299,206.34296184893404,49.21545948544933,0,2044,511,2555,603.1588,1
5,2,255,2810,206.36347000933182,49.208684687894845,0,2555,511,3066,0.0020225348,4492
6,2,255,3321,206.38397254449492,49.201906261949446,0,3066,511,3577,0.0020522077,4492
7,2,255,3832,206.40446945148912,49.195124210409695,0,3577,511,4088,0.0020506913,4492
8,2,766,255,206.27174490751918,49.256335766819205,511,0,1022,511,0.0020442188,4492
9,2,766,766,206.29227980100282,49.249573585055806,511,511,1022,1022,0.0020437767,4492
10,2,766,1277,206.3128090755329,49.24280776249183,511,1022,1022,1533,0.002093143,4492
11,2,766,1788,206.33333272814647,49.236038301918754,511,1533,1022,2044,0.002074353,4492
12,2,766,2299,206.35385075588783,49.22926520612983,511,2044,1022,2555,0.002013228,4492
13,2,766,2810,206.37436315580874,49.2224884779201,511,2555,1022,3066,0.0020641033,4492
14,2,766,3321,206.39486992496833,49.21570812008637,511,3066,1022,3577,0.0020626201,4492
