,healpix_lvl,source_id,source_id_2,ra,dec,wise_ra,wise_dec,tmass_ra,tmass_dec,phot_bp_mean_mag,phot_g_mean_mag,phot_rp_mean_mag,parallax,w1,w1_error,w2,w2_error,w3,w3_error,w4,w4_error,j,j_error,h,h_error,ks,ks_error,g,bp,rp,phot_g_mean_mag_AB,phot_bp_mean_mag_AB,phot_rp_mean_mag_AB,phot_j_mean_mag_AB,phot_h_mean_mag_AB,phot_ks_mean_mag_AB,phot_w1_mean_mag_AB,phot_w2_mean_mag_AB,phot_w3_mean_mag_AB,phot_w4_mean_mag_AB,dist
20411,11003,6194571819954830720,6194571819954830720,199.93169318925683,-23.043975320666643,199.9317006,-23.043988,199.931779,-23.044022,18.704151,17.965483,17.298119,0.7946316014021836,0.0003397817118270833,0.0,0.00017815581406628933,0.0,0.00027925438412373363,0.0,0.0017848429164980066,0.0,0.00082582724,0.0,0.0010449613,0.0,0.0008323961,0.0,0.0002364867,0.000119767596,0.00043727265,17.965483,18.704151,17.298119,16.607777,16.35225,16.599174,17.572,18.273,17.785,15.771,1.1175394696206042
20412,6228,3506527990421777280,3506527990421777280,199.9317205142192,-20.19279327229899,199.9317062,-20.1927977,199.931767,-20.192833,17.192371,16.948713,16.67755,0.19852038253990983,0.00022428488158692843,0.0,0.00011673470764921932,0.0,0.0002789972997408261,0.0,0.0016504409856522755,0.0,0.000868736,0.0,0.0007329919,0.0,0.000713067,0.0,0.0006032738,0.00048200478,0.0007744264,16.948713,17.192371,16.67755,16.55278,16.737251,16.767174,18.023,18.732,17.786,15.856000000000002,1.8515432263012779
20413,6228,3506294271186235520,3506294271186235520,199.93204177868762,-20.64466790685922,199.932061,-20.6446287,199.932144,-20.644709,19.132776,18.408047,17.735432,0.8447018326728367,0.00021086281499332887,0.0,9.341142557364785e-05,0.0,0.0003039484968770107,0.0,0.0031535520245507204,0.0,0.0005205805,0.0,0.00061475224,0.0,0.00034860213,0.0,0.000157319,8.070296e-05,0.00029229894,18.408047,19.132776,17.735432,17.10878,16.92825,17.544174,18.09,18.974,17.693,15.152999999999999,1.4138227369556338
20414,6228,3506281695521744000,3506281695521744000,199.9320445010603,-20.830014151412215,199.9320533,-20.8299586,199.932069,-20.829905,18.529902,18.076323,17.653336,0.38893928760784685,0.00013867558288718868,0.0,6.570523909635548e-05,0.0,0.0003130401190096235,0.0,0.0017234552051091608,0.0,0.0004717245,0.0,0.0005668909,0.0,0.00016979706,0.0,0.00021353588,0.00014061741,0.0003152576,18.076323,18.529902,17.653336,17.215778,17.01625,18.325174,18.545,19.355999999999998,17.661,15.809000000000001,1.2371889397841438
20415,11003,6194151467210805120,6194151467210805120,199.93204569042408,-24.23495776538402,199.9320876,-24.2349214,199.932132,-24.234882,14.825605,14.518349,14.190439,1.10624839067198,0.0024865660513079344,0.0,0.001340293773418309,0.0,0.0004943106869868359,0.0,0.002015579812825193,0.0,0.00860772,0.0,0.0073977574,0.0,0.0053104376,0.0,0.0056579653,0.0042634155,0.007652866,14.518349,14.825605,14.190439,14.062779,14.227249,14.587173,15.411,16.082,17.165,15.639,2.2699988290110893
20416,11003,6194151467210804736,6194151467210804736,199.9321596930277,-24.2372534793609,199.9320972,-24.2371652,199.932248,-24.237249,18.689852,17.782991,17.009573,1.3733482843524232,0.0005780960474057193,0.0,0.0002995021883751126,0.0,0.0002789972997408261,0.0,0.0021857475486869384,0.0,0.001163291,0.0,0.0014746859,0.0,0.0012289387,0.0,0.0002797714,0.00012135537,0.00057038816,17.782991,18.689852,17.009573,16.235779,15.9782505,16.176174,16.994999999999997,17.709,17.786,15.550999999999998,2.27227686544966
20417,11006,6196200849509840000,6196200849509840000,199.93226185809112,-21.970641696943026,199.9322833,-21.9707172,199.932341,-21.970606,19.344557,18.424406,17.702871,0.6697734015841156,0.0003159366435682516,0.0,0.00016580590751089184,0.0,0.00030591445594864083,0.0,0.001914255925021086,0.0,0.00053912407,0.0,0.00076753757,0.0,0.0005952929,0.0,0.00015496631,6.640136e-05,0.00030119746,18.424406,19.344557,17.702871,17.070778,16.68725,16.963173,17.651,18.351,17.686,15.695,0.4019012737108766
20418,11003,6194259975263878912,6194259975263878912,199.93227717075374,-23.572768362931185,199.9322883,-23.5726856,199.932414,-23.572807,20.72243,19.515026,18.531775,2.112000783644006,0.00021086281499332887,0.0,0.00013097849623996873,0.0,0.00028654972763642365,0.0,0.00222638362955291,0.0,0.00037470416,0.0,0.0005616937,0.0,0.0004466121,0.0,5.675305e-05,1.8665001e-05,0.00014037506,19.515026,20.72243,18.531775,17.465778,17.02625,17.275173,18.09,18.607,17.757,15.530999999999999,1.6224731865347604
20419,6228,3506592792888387584,3506592792888387584,199.93235850151,-19.768423912214736,199.9323669,-19.7684053,199.932415,-19.768463,16.909351,16.604784,16.277943,0.5040324352136857,0.00037983939015450677,0.0,0.00021478304741305332,0.0,0.0003090295432513589,0.0,0.0019408858775927793,0.0,0.0012192358,0.0,0.0011436681,0.0,0.00088946795,0.0,0.0008281067,0.00062554586,0.0011189808,16.604784,16.909351,16.277943,16.18478,16.25425,16.527174,17.451,18.07,17.675,15.68,2.2678361307928094
20420,11003,6194679026633693056,6194679026633693056,199.93252659588637,-22.311078324915997,199.932528,-22.3110694,199.932555,-22.311115,16.32209,15.905814,15.464621,1.1395201420592105,0.001057791322499502,0.0,0.000580764417521313,0.0,0.00042540246294406797,0.0,0.002108628149933289,0.0,0.0030795583,0.0,0.0032862457,0.0,0.002106346,0.0,0.0015764276,0.0010743943,0.002366745,15.905814,16.32209,15.464621,15.178779,15.10825,15.591175,16.339,16.99,17.328,15.59,0.5071899573640203
