SCA,SCAx,SCAy,Field X,Field Y
3,17.92,7.68,-0.1215,-0.2183
3,-17.92,12.8,-0.0135,-0.204
3,-12.8,12.8,-0.0289,-0.204
3,-7.68,12.8,-0.0444,-0.204
3,-2.56,12.8,-0.0598,-0.2039
3,2.56,12.8,-0.0754,-0.204
3,7.68,12.8,-0.0908,-0.2038
3,12.8,12.8,-0.1063,-0.2036
3,17.92,12.8,-0.1217,-0.2035
3,-17.92,17.92,-0.0135,-0.1892
3,-12.8,17.92,-0.0288,-0.1894
3,-7.68,17.92,-0.0444,-0.1892
3,-2.56,17.92,-0.0599,-0.1891
3,2.56,17.92,-0.0755,-0.189
3,7.68,17.92,-0.091,-0.1889
3,12.8,17.92,-0.1065,-0.1888
3,17.92,17.92,-0.1219,-0.1888
4,-17.92,-17.92,-0.1484,0.0087
4,-12.8,-17.92,-0.164,0.0087
4,-7.68,-17.92,-0.1797,0.009
4,-2.56,-17.92,-0.1953,0.0089
4,2.56,-17.92,-0.2107,0.0092
4,7.68,-17.92,-0.2263,0.0094
4,12.8,-17.92,-0.2419,0.0095
4,17.92,-17.92,-0.2573,0.0097
4,-17.92,-12.8,-0.1485,0.024
4,-12.8,-12.8,-0.1641,0.0242
4,-7.68,-12.8,-0.1797,0.0243
4,-2.56,-12.8,-0.1953,0.0243
4,2.56,-12.8,-0.2109,0.0245
4,7.68,-12.8,-0.2265,0.0248
4,12.8,-12.8,-0.2419,0.0248
4,17.92,-12.8,-0.2575,0.0249
4,-17.92,-7.68,-0.1485,0.0394
4,-12.8,-7.68,-0.1641,0.0395
4,-7.68,-7.68,-0.1798,0.0397
4,-2.56,-7.68,-0.1955,0.0397
4,2.56,-7.68,-0.2111,0.0398
4,7.68,-7.68,-0.2266,0.0401
4,12.8,-7.68,-0.2423,0.0401
4,17.92,-7.68,-0.2578,0.0403
4,-17.92,-2.56,-0.1487,0.0546
4,-12.8,-2.56,-0.1643,0.0551
4,-7.68,-2.56,-0.18,0.055
4,-2.56,-2.56,-0.1955,0.0551
4,2.56,-2.56,-0.2111,0.0552
4,7.68,-2.56,-0.2267,0.0552
4,12.8,-2.56,-0.2423,0.0555
4,17.92,-2.56,-0.2581,0.0557
4,-17.92,2.56,-0.1486,0.0703
4,-12.8,2.56,-0.1644,0.0703
4,-7.68,2.56,-0.18,0.0705
4,-2.56,2.56,-0.1957,0.0705
4,2.56,2.56,-0.2113,0.0707
4,7.68,2.56,-0.2269,0.0707
4,12.8,2.56,-0.2425,0.071
4,17.92,2.56,-0.2582,0.0711
4,-17.92,7.68,-0.1489,0.0857
4,-12.8,7.68,-0.1646,0.0858
4,-7.68,7.68,-0.1802,0.0859
4,-2.56,7.68,-0.1958,0.086
4,2.56,7.68,-0.2115,0.0861
4,7.68,7.68,-0.2271,0.0862
4,12.8,7.68,-0.2428,0.0862
4,17.92,7.68,-0.2581,0.0866
4,-17.92,12.8,-0.1489,0.1011
4,-12.8,12.8,-0.1645,0.1012
4,-7.68,12.8,-0.1801,0.1013
4,-2.56,12.8,-0.1959,0.1014
4,2.56,12.8,-0.2115,0.1015
4,7.68,12.8,-0.2272,0.1017
4,12.8,12.8,-0.2429,0.1018
4,17.92,12.8,-0.2584,0.102
4,-17.92,17.92,-0.1491,0.1166
4,-12.8,17.92,-0.1647,0.1167
4,-7.68,17.92,-0.1803,0.1167
4,-2.56,17.92,-0.1962,0.1168
4,2.56,17.92,-0.2117,0.1169
4,7.68,17.92,-0.2274,0.1172
4,12.8,17.92,-0.2431,0.1172
4,17.92,17.92,-0.2585,0.1173
5,-17.92,-17.92,-0.1485,-0.1367
5,-12.8,-17.92,-0.1641,-0.1367
5,-7.68,-17.92,-0.1794,-0.1364
5,-2.56,-17.92,-0.1949,-0.1362
5,2.56,-17.92,-0.2104,-0.136
5,7.68,-17.92,-0.2259,-0.1359
5,12.8,-17.92,-0.2413,-0.1356
5,17.92,-17.92,-0.2568,-0.1354
