,Activity name,CAR,Region,Lite?,Possible descope,MPA_ThetaX,MPA_ThetaY,Target source,N_FRAME,N_EXP,N_FILT,Time,Filter(s),Notes
64,SCAN_DRAGON1,171.2,Outer stray,TRUE,FALSE,-0.0188,-0.0312,Canopus,55,4,1,14.3,F158,Central light shield scan
65,SCAN_DRAGON1,171.2,Outer stray,TRUE,FALSE,-0.0688,-0.0334,Canopus,55,4,1,14.3,F158,Central light shield scan
66,SCAN_DRAGON1,171.2,Outer stray,TRUE,FALSE,-0.0688,-0.0328,Canopus,55,4,1,14.3,F158,Central light shield scan
67,SCAN_DRAGON1,171.2,Outer stray,TRUE,FALSE,-0.0688,-0.0322,Canopus,55,4,1,14.3,F158,Central light shield scan
68,SCAN_DRAGON1,171.2,Outer stray,TRUE,FALSE,-0.0688,-0.0315,Canopus,55,4,1,14.3,F158,Central light shield scan
69,SCAN_DRAGON1,171.2,Outer stray,TRUE,FALSE,-0.0688,-0.0309,Canopus,55,4,1,14.3,F158,Central light shield scan
70,SCAN_DRAGON1,171.2,Outer stray,TRUE,FALSE,-0.0688,-0.0302,Canopus,55,4,1,14.3,F158,Central light shield scan
71,SCAN_DRAGON1,171.2,Outer stray,TRUE,FALSE,-0.0688,-0.0296,Canopus,55,4,1,14.3,F158,Central light shield scan
72,SCAN_DRAGON1,171.2,Outer stray,TRUE,FALSE,-0.0688,-0.029,Canopus,55,4,1,14.3,F158,Central light shield scan
73,SCAN_DRAGON2,171.2,Outer stray,TRUE,FALSE,-0.1324,-0.0035,Canopus,55,4,1,14.3,F158,Central light shield scan
74,SCAN_DRAGON2,171.2,Outer stray,TRUE,FALSE,-0.1352,0.0013,Canopus,55,4,1,14.3,F158,Central light shield scan
75,SCAN_DRAGON2,171.2,Outer stray,TRUE,FALSE,-0.1408,0.0013,Canopus,55,4,1,14.3,F158,Corner light shield scan
76,SCAN_DRAGON2,171.2,Outer stray,TRUE,FALSE,-0.1436,-0.0035,Canopus,55,4,1,14.3,F158,Corner light shield scan
77,SCAN_DRAGON2,171.2,Outer stray,TRUE,FALSE,-0.1408,-0.0083,Canopus,55,4,1,14.3,F158,Corner light shield scan
78,SCAN_DRAGON2,171.2,Outer stray,TRUE,FALSE,-0.1352,-0.0083,Canopus,55,4,1,14.3,F158,Corner light shield scan
79,SCAN_DRAGON2,171.2,Outer stray,TRUE,FALSE,-0.1324,-0.0035,Canopus,55,4,1,14.3,F158,Corner light shield scan
80,NEGATIVE_GAP_1,171.2,Outer stray,TRUE,FALSE,0.0665,-0.1754,Canopus,55,4,1,14.3,F158,Corner light shield scan
81,NEGATIVE_GAP_2,171.2,Outer stray,TRUE,FALSE,-0.0665,-0.1754,Canopus,55,4,1,14.3,F158,Corner light shield scan
