,Target,ArchiveTarget,description,category,RA,DEC,WFIPA_off,V3PA_off,V3PA_ori,CAR,Region,Target_Source,RA_Source,Dec_Source,MPA_ThetaX,MPA_ThetaY,N_FRAME,N_EXP,N_FILT,Filter,MA Table,Resultant
38,SCAN_ROGUEPATH_039,SCAN_ROGUEPATH_039,Stray light test,Calibration,86.53366862003524,-49.35136547348478,99.53859352818412,159.53859352818412,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-2.7211,6.2505,55,4,1,F158,IM_193_11,11
39,SCAN_ROGUEPATH_040,SCAN_ROGUEPATH_040,Stray light test,Calibration,86.60163995131458,-51.03264186631531,99.60958323356732,159.60958323356732,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-1.0562,5.9322,55,4,1,F158,IM_193_11,11
40,SCAN_ROGUEPATH_041,SCAN_ROGUEPATH_041,Stray light test,Calibration,87.14472851064743,-50.26850113327559,99.14216783788609,159.1421678378861,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-1.8705,5.7158,55,4,1,F158,IM_193_11,11
41,SCAN_ROGUEPATH_042,SCAN_ROGUEPATH_042,Stray light test,Calibration,87.61319329241081,-49.7867580104753,98.75851477418811,158.75851477418811,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-2.3948,5.4927,55,4,1,F158,IM_193_11,11
42,SCAN_ROGUEPATH_043,SCAN_ROGUEPATH_043,Stray light test,Calibration,85.57256401334095,-50.309310245421855,100.33137960952786,160.33137960952786,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-1.6659,6.6978,55,4,1,F158,IM_193_11,11
43,SCAN_ROGUEPATH_044,SCAN_ROGUEPATH_044,Stray light test,Calibration,86.3241601029344,-50.517220906788204,99.78059011214845,159.78059011214845,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-1.54,6.1909,55,4,1,F158,IM_193_11,11
44,SCAN_ROGUEPATH_045,SCAN_ROGUEPATH_045,Stray light test,Calibration,86.84861531201733,-50.64266686106329,99.39254554126981,159.3925455412698,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-1.469,5.8422,55,4,1,F158,IM_193_11,11
45,SCAN_ROGUEPATH_046,SCAN_ROGUEPATH_046,Stray light test,Calibration,84.71737905687831,-51.88763374507514,101.12773621811334,161.12773621811334,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,0.0,6.9335,55,4,1,F158,IM_193_11,11
46,SCAN_ROGUEPATH_047,SCAN_ROGUEPATH_047,Stray light test,Calibration,85.66510266572952,-51.99550440094699,100.40892080352691,160.4089208035269,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,0.0,6.3394,55,4,1,F158,IM_193_11,11
47,SCAN_ROGUEPATH_048,SCAN_ROGUEPATH_048,Stray light test,Calibration,86.15601137554633,-52.04853281694852,100.03508552871673,160.03508552871673,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,0.0,6.0327,55,4,1,F158,IM_193_11,11
