ra dec mag_bp_ab mag_g_ab mag_rp_ab mag_j_ab mag_h_ab mag_ks_ab mag_w1_ab mag_w2_ab mag_w3_ab mag_w4_ab
208.88515 -47.288265 2.4074848 2.605 2.4816206 2.1282208 1.7087499 1.3798262 0.6450001 -0.28999996 -1.7279999 -3.2029998
210.95602 -60.37298 0.45107394 0.705 0.5932656 0.27322084 -0.16525012 -0.56217384 -2.922 -3.923 -3.629 -5.179
211.59279 -26.682018 3.485534 3.305 2.5815175 0.5092208 -0.53425014 -1.0871738    
211.67218 -36.368694 2.2716634 2.205        
213.91812 19.18727 0.22969441 0.005        
218.01982 38.307884 3.0069907 3.105 2.7549322 1.7522207 1.19675 0.6708261    
218.87688 -42.157745 2.193154 2.405 2.2622123 1.8532208 1.40175 0.90982616 -0.548 -1.696 -3.048 -5.252
219.91412 -60.83947 1.5285432 1.505        
219.92041 -60.835148 0.111850716 0.105        
220.48239 -47.38814 2.1640491 2.405 2.2329707 1.7402209 1.3437499 0.82782614 -0.64900005 -0.648 -2.129 -3.619
221.24687 27.074173 2.5482361 2.505 1.7936798 -0.24377923 -1.2462502 -1.7181739 -4.231 -3.868 -5.239 -6.683
222.67665 74.15548 2.4171286 2.205 1.2750134 -1.3887792 -2.59925 -3.127174 -0.97599995 -1.909 -6.253 -8.062
222.71991 -16.04161 2.703862 2.905 2.5603664 1.5732208 1.0647498 0.5998262    
224.63315 -43.133865 2.5350978 2.805 2.6619537 2.2522206 1.7847499 1.4108261 0.7529999 -0.20700003 -1.648 -3.156
226.01776 -25.281857 3.6594903 3.305 2.1353862 -1.2147793 -2.57625 -3.239174 -0.28700006 -5.182 -6.265 -8.162
229.25197 -9.382867 2.4988148 2.705 2.488202 1.8672208 1.51975 1.0648261 0.20299995 -0.7379999 -2.253 -3.76
229.72787 -68.67947 2.7841773 3.005 2.649239 1.6302208 1.1527499 0.69082606 -1.102 -1.8 -2.443 -3.8879998
230.18228 71.83398 2.9273062 3.105 2.8206615 2.0062208 1.3927499 0.8648261 -1.043 -2.135 -2.48 -3.974
231.23244 58.966022 3.5479126 3.405 2.6271741 0.39922076 -0.65025014 -1.1691738 -4.239 -3.806 -4.434 -5.996
233.67162 26.71491 2.1395483 2.305 2.0592194 1.3552209 1.01975 0.36582622 -1.757 -2.404 -2.911 -4.68
233.78525 -41.166695 2.6455495 2.905 2.769717 2.3822207 1.95375 1.5348262 0.7600001 -0.19799997 -1.651 -3.099
236.06665 6.42552 2.888211 2.705 1.9887631 -0.06277924 -1.0852501 -1.6901739    
238.7867 -63.42975 2.83399 2.905        
239.713 -26.114042 2.7462914 3.005 2.892748 2.5712206 2.1257498 1.8458263 0.81799996 -0.04200007 -1.678 -3.738
240.08339 -22.62162 2.1650894 2.405 2.1750047 1.5162209 1.0577499 0.5868262 -3.603 -4.063 -4.061 -6.054
241.35931 -19.805393 2.4506052 2.705 2.3978891 1.5182208 1.28675 0.9258262 -0.9 -1.7229999 -2.338 -3.7989998
243.58653 -3.6939757 3.112636 2.805 1.8139422 -1.0247792 -2.39925 -3.0131738    
244.58017 -4.692608 3.4282362 3.305 2.637413 0.72522074 -0.19825011 -0.6941738 -4.439 -4.394 -4.153 -5.667
245.29718 -25.592752 2.8992162 3.005 2.6153393 1.4992207 1.0247499 0.49882612 -1.829 -2.604 -2.925 -5.577
245.99794 61.514076 2.911527 2.805 2.1275797 0.18722077 -0.7902501 -1.2611738 -4.29 -3.84 -4.555 -6.04
247.16052 41.88169 5.1246133 4.905 3.157279 -1.8487792 -3.22425 -3.974174 0.6780001 -3.465 -7.147 -9.573
247.35194 -26.431946 1.526481 1.205 -0.075628966 -3.7437792 -5.09925 -5.9401736 -3.932 -1.273 -8.783999 -10.904
247.55525 21.489649 2.972567 2.905 2.2423298 0.34422082 -0.6352501 -1.1151738 -4.325 -4.559 -4.472 -5.982
248.97066 -28.215961 2.6685333 2.905 2.8131914 2.5502207 2.1037498 1.8648261 0.9870001 0.033999905 -1.428 -3.261
249.2897 -10.567152 2.4613385 2.605 2.3550787 1.6392208 1.29275 0.8438262 -1.135 -1.954 -2.39 -3.886
250.32281 31.601887 2.9139478 2.905        
252.1661 -69.02763 2.2517576 2.005 1.1642915 -1.2437792 -2.39825 -3.0161738 -1.169 -5.578 -6.171 -7.942
252.5427 -34.29261 2.5413482 2.405        
252.96767 -38.04733 2.8503237 3.105 2.9650588 2.5642207 2.10775 1.8558263 0.96500003 0.059 -1.402 -3.112
254.4178 9.375056 3.4461224 3.305        
254.65512 -55.990055 3.4930878 3.205 2.250171 -0.4847792 -1.8262501 -2.4731739 -4.382 -5.738 -5.641 -7.316
257.59442 -15.725147 2.3576045 2.505 2.238517 1.4752208 1.0347499 0.4958261 -2.174 -2.774 -2.751 -4.317
258.66193 14.390253 3.0373158 2.905 1.3262602 -3.1957793 -4.59825 -5.351174 2.2940001 0.4790001 -8.149 -10.341
258.7619 36.809155 3.498774 3.305 2.405808 -0.16977923 -1.4862502 -1.8631738 -4.849 -5.231 -5.244 -6.748
261.32498 -55.529823 3.1913059 2.905 2.0629976 -0.3487792 -1.6302501 -2.2441738 -4.266 -5.543 -5.445 -7.04
262.60825 52.301357 2.9846556 2.905 2.2715716 0.45722073 -0.5782501 -1.0841739 -4.526 -4.62 -4.4769998 -6.021
262.691 -37.295742 2.5565898 2.805 2.6378872 2.1592207 1.73375 1.3428262 0.4439999 -0.2160001 -1.7030001 -3.1499999
262.9605 -49.87598 2.70942 2.905 2.6204026 1.8052207 1.20975 0.64682615 -2.068 -3.281 -4.08 -6.2
263.4022 -37.10375 1.4610739 1.705 1.553414 1.1192209 0.69374996 0.2738262 -1.635 -2.246 -2.608 -4.197
263.73337 12.5605755 2.036249 2.205 1.8774458 0.9392207 0.34374994 -0.15717389    
264.32968 -42.99782 1.8911428 2.005 1.5327896 0.1802208 -0.5092501 -0.9991738 -4.748 -4.745 -4.411 -5.871
265.622 -39.029922 2.248977 2.505 2.3738573 1.9982208 1.64075 1.2538263 -0.33300006 -0.56299996 -1.97 -3.4199998
265.86823 4.566917 3.0185094 2.905 2.228356 0.2902208 -0.9072501 -1.4031738    
266.89618 -40.126984 3.051876 3.105 2.556968 0.9872208 0.39174992 -0.1501738 -3.802 -3.981 -3.7849998 -5.3459997
267.4644 -37.04337 3.4556706 3.305 2.563403 0.43922073 -0.6632501 -1.2191739 -4.849 -4.884 -4.73 -6.187
269.15158 51.488953 2.603838 2.305 1.41383 -1.1387792 -2.40825 -3.002174 -1.649 -5.2 -6.235 -8.051
271.45218 -30.42365 3.182712 3.105 2.4105003 0.42122084 -0.7032501 -1.2951739    
274.4072 -36.76128 3.4820392 3.205 2.0346098 -1.3177792 -2.7682502 -3.4731739    
275.2484 -29.82804 3.0417662 2.805 1.9785242 -0.38877922 -1.5302501 -2.1421738 -4.31 -5.553 -5.4900002 -6.983
275.32883 -2.897122 3.4207768 3.305        
276.04312 -34.384315 1.6907501 1.905 1.6292012 0.8392208 0.3937499 -0.069173835 -3.4029999 -3.504 -3.411 -4.939
276.9928 -25.421247 3.0358407 2.905 2.2024782 0.19022079 -0.9362501 -1.5081738    
279.2341 38.782993 -0.060298383 0.105 -0.19926432 -1.0707792 -1.4032501 -1.7111739    
283.8163 -26.296595 1.9200169 2.105 1.9329706 1.440221 1.0347499 0.5968262 -0.99100006 -0.88899994 -2.28 -3.7949998
283.83368 43.945892 4.4068384 4.205 2.6945772 -1.6317792 -2.9492502 -3.6771739    
285.653 -29.880114 2.5284996 2.705 2.373823 1.4252208 0.94374996 0.4528261 -1.281 -2.509 -2.596 -4.194
286.35254 13.863709 2.9041774 3.105 2.8682764 2.1902208 1.67375 1.0358261 -0.676 -1.728 -2.2250001 -3.724
286.73517 -27.669815 3.5788076 3.405 2.6214812 0.3772208 -0.78925014 -1.3821739    
287.44098 -21.023525 2.90249 3.005 2.520627 1.1332208 0.5217499 0.019826151    
288.13815 67.661316 3.2753973 3.205 2.5001493 0.48122078 -0.5372501 -0.9571738 -4.125 -3.8240001 -4.365 -5.899
292.68036 27.959694 3.284639 3.105 2.3613327 0.2312208 -0.9102501 -1.4461739 -4.152 -4.292 -5.201 -6.574
296.2435 45.13069 2.7694032 3.005 2.7082403 1.8582209 1.57275 0.83782613 -0.748 -1.581 -2.242 -3.7319999
296.56488 10.613269 3.0796607 2.805 1.9192643 -0.6177792 -1.9182501 -2.560174 -4.375 -5.146 -5.626 -7.349
297.69452 8.867385 0.73594224 0.905        
299.68912 19.492092 3.888757 3.605      -4.604 -5.433 -6.946
305.2527 -14.781402 3.1957211 3.105 2.4459527 0.5582208 -0.46025014 -1.0441738 -4.457 -4.1 -4.32 -5.804
305.5571 40.256683 2.3408105 2.305 1.8314956 0.47522074 -0.5222501 -1.0131738 -4.466 -4.067  
306.41187 -56.734882 1.8147911 2.005 1.851085 1.4102207 1.0837499 0.63882625 -1.415 -2.217 -2.548 -4.002
