,healpix_5,source_id,source_id_2,ra,dec,wise_ra,wise_dec,tmass_ra,tmass_dec,phot_bp_mean_mag,phot_g_mean_mag,phot_rp_mean_mag,parallax,w1,w1_error,w2,w2_error,w3,w3_error,w4,w4_error,j,j_error,h,h_error,ks,ks_error,g,bp,rp,phot_g_mean_mag_AB,phot_bp_mean_mag_AB,phot_rp_mean_mag_AB,phot_j_mean_mag_AB,phot_h_mean_mag_AB,phot_ks_mean_mag_AB,phot_w1_mean_mag_AB,phot_w2_mean_mag_AB,phot_w3_mean_mag_AB,phot_w4_mean_mag_AB
7795,7795,7795,7795,258.8793925448935,3.624576391440052,258.8793925448935,3.624576391440052,258.8793925448935,3.624576391440052,4.436236117275568,4.048822757641805,3.6136227736459414,0.0,82.78564595887303,0.0,45.90865395641255,0.0,15.547305034316933,0.0,52.16860267487689,0.0,201.1591890940369,0.0,219.19462740395886,0.0,168.49934937168186,0.0,87.1908470768193,61.02468594928932,130.18198536352614,4.048822757641805,4.436236117275568,3.6136227736459414,3.1411503094011772,3.0479252372096948,3.333504429338192,4.105112395394787,4.745263601447631,5.920862201505782,4.606476989022005
7796,7796,7796,7796,261.6014831609758,3.870476279592003,261.6014831609758,3.870476279592003,261.6014831609758,3.870476279592003,3.7262132365246643,3.1801372784468196,2.653528510620693,0.0,1711.9619621295326,0.0,527.1715775878537,0.0,33.36965666584929,0.0,73.98939246073206,0.0,495.524393740874,0.0,587.4784623670907,0.0,442.1485433893152,0.0,194.06404911406437,117.3585419904488,315.2017323815069,3.1801372784468196,3.7262132365246643,2.653528510620693,2.1623374028645896,1.977520126243042,2.286079503457046,0.8162647227172144,2.095120031835127,5.0916206542421145,4.227076346820636
7797,7797,7797,7797,262.9935161625059,4.778708852908596,262.9935161625059,4.778708852908596,262.9935161625059,4.778708852908596,4.4184067575912085,3.963886892887478,3.4667961895306343,0.0,156.64295712007754,0.0,139.91481249701513,0.0,46.16708788520659,0.0,87.93971592617267,0.0,284.26118807795154,0.0,334.849671020077,0.0,278.6554999681917,0.0,94.28557258785315,62.03507290596311,149.03268442904587,3.963886892887478,4.4184067575912085,3.4667961895306343,2.7657060828723683,2.5878753085227704,2.7873309515691247,3.4127228170314527,3.5353407629987856,4.739168797230134,4.039537354065484
7798,7798,7798,7798,260.19220575236824,4.7924638241287285,260.19220575236824,4.7924638241287285,260.19220575236824,4.7924638241287285,4.201730439092729,3.80724773467157,3.371527196444939,0.0,171.69987020024246,0.0,181.75694848243634,0.0,36.900322615098275,0.0,72.8222213487413,0.0,255.91571395295455,0.0,283.1222725554817,0.0,232.44244904139683,0.0,108.91831301405318,75.73695221188069,162.70058760359143,3.80724773467157,4.201730439092729,3.371527196444939,2.87975761594312,2.7700649109437983,2.984211393576606,3.313075082880175,3.2512724431957416,4.982424592099337,4.244340194005503
7799,7799,7799,7799,261.60416590596435,6.034202599872977,261.60416590596435,6.034202599872977,261.60416590596435,6.034202599872977,4.356733061722479,3.934823890609689,3.480932462431751,0.0,89.95953647517612,0.0,48.55696332369102,0.0,17.05437457972082,0.0,62.546715542192885,0.0,222.43098966446416,0.0,244.74056764802944,0.0,186.59699035228772,0.0,96.84349263235288,65.66089154769442,147.1048579644021,3.934823890609689,4.356733061722479,3.480932462431751,3.0320117645922746,2.928235092503069,3.2227384133164394,4.014881977432717,4.684371202947816,5.82041050617304,4.409488727690321
7800,7800,7800,7800,256.0275088216457,3.569859233842947,256.0275088216457,3.569859233842947,256.0275088216457,3.569859233842947,4.412240330262607,4.055635853338586,3.6552653790577505,0.0,68.6756882064882,0.0,36.92107461747653,0.0,14.077417581060047,0.0,54.821829350787425,0.0,176.1138244576118,0.0,187.7213381574127,0.0,142.4357559716832,0.0,86.64542946244367,62.38840286565317,125.2834915664326,4.055635853338586,4.412240330262607,3.6552653790577505,3.285516379388941,3.216215896532555,3.515952437703991,4.307992449434222,4.981814167432737,6.028692516599529,4.552616191432342
7801,7801,7801,7801,257.2528372878285,4.762189499244213,257.2528372878285,4.762189499244213,257.2528372878285,4.762189499244213,4.371180262873771,3.952827264461132,3.47669901848497,0.0,92.271684540405,0.0,51.80047368722861,0.0,16.084433006388515,0.0,53.85560890335514,0.0,218.369330289931,0.0,247.48681317134975,0.0,185.09839036509047,0.0,95.25090138554634,64.79297106305381,147.6795609757841,3.952827264461132,4.371180262873771,3.47669901848497,3.0520208945561604,2.916119841517837,3.2314933947519737,3.9873288767551847,4.614165672122973,5.8839856096027034,4.57192264879218
7802,7802,7802,7802,254.57758267393206,4.692334194422056,254.57758267393206,4.692334194422056,254.57758267393206,4.692334194422056,4.782455001220509,4.3976551506690456,3.946926787952246,0.0,62.13969522320033,0.0,34.22249008663033,0.0,11.849225858564145,0.0,41.0880004003628,0.0,148.4559510676696,0.0,163.6424043806564,0.0,127.7734763830421,0.0,63.23214867819539,44.36270298534738,95.76995532274903,4.3976551506690456,4.782455001220509,3.946926787952246,3.471005971019494,3.3652603702089685,3.633898222564225,4.416577202904048,5.064220984098732,6.215775055851184,4.865712484288701
7803,7803,7803,7803,255.87113056219616,5.993870592689267,255.87113056219616,5.993870592689267,255.87113056219616,5.993870592689267,4.707871111080627,4.24082667003053,3.738028929301705,0.0,118.00349667556787,0.0,54.08585756047295,0.0,15.87154819413588,0.0,50.02959825076142,0.0,196.69589965323993,0.0,241.0257593924585,0.0,186.99809190232264,0.0,73.05826124661736,47.517278130444204,116.08829381373327,4.24082667003053,4.707871111080627,3.738028929301705,3.165511733355352,2.9448413503660236,3.2204070622753314,3.7202628087600145,4.567290699820644,5.898451769537626,4.651932461469169
7804,7804,7804,7804,258.74085721248895,5.994236254183117,258.74085721248895,5.994236254183117,258.74085721248895,5.994236254183117,4.550069194452631,4.118568088319661,3.645598360306055,0.0,87.33460007184762,0.0,48.26995021293872,0.0,15.597109086833147,0.0,51.286030381014385,0.0,203.6011655073245,0.0,236.04018460735432,0.0,182.72818114680192,0.0,81.76600228283064,54.95058524885821,126.4039530388285,4.118568088319661,4.550069194452631,3.645598360306055,3.128049350563752,2.9675351359264788,3.2454861716743295,4.047034160401786,4.690807872813283,5.917389725905924,4.625002286764282
