,SCA,xmid,ymid,ramid,decmid,xmin,ymin,xmax,ymax,straylight_total,mainoffender_total
51,3,3321,1788,56.54202310263029,23.929171062012486,3066,1533,3577,2044,4.2129595e+06,1.0
52,3,3321,2299,56.54192921264094,23.943837851116044,3066,2044,3577,2555,4.2171055e+06,1.0
53,3,3321,2810,56.54183530131053,23.95850463915264,3066,2555,3577,3066,4.350939e+06,1.0
54,3,3321,3321,56.54174136863181,23.973171424199965,3066,3066,3577,3577,4.516077e+06,1.0
55,3,3321,3832,56.54164741459744,23.987838204335805,3066,3577,3577,4088,4.488666e+06,1.0
56,3,3832,255,56.52544328822203,23.8852284755431,3577,0,4088,511,3.9673138e+06,1.0
57,3,3832,766,56.52534754678388,23.89989524283848,3577,511,4088,1022,4.0771692e+06,1.0
58,3,3832,1277,56.52525178359133,23.91456201481185,3577,1022,4088,1533,3.98124e+06,1.0
59,3,3832,1788,56.52515599863698,23.929228789540964,3577,1533,4088,2044,4.0981302e+06,1.0
60,3,3832,2299,56.52506019191345,23.94389556510354,3577,2044,4088,2555,4.247815e+06,1.0
61,3,3832,2810,56.524964363413254,23.958562339577288,3577,2555,4088,3066,4.372655e+06,1.0
62,3,3832,3321,56.524868513128986,23.97322911103993,3577,3066,4088,3577,4.384317e+06,1.0
63,3,3832,3832,56.52477264105323,23.987895877569198,3577,3577,4088,4088,4.4881045e+06,1.0
0,4,255,255,56.495396702196416,24.186345791159734,0,0,511,511,4.60918e+06,1.0
1,4,255,766,56.49523379970547,24.201739866020873,0,511,511,1022,4.6470065e+06,1.0
2,4,255,1277,56.495070857805956,24.21713394639614,0,1022,511,1533,4.496023e+06,1.0
3,4,255,1788,56.49490787648355,24.23252803006266,0,1533,511,2044,4.613548e+06,1.0
4,4,255,2299,56.494744855724,24.247922114797525,0,2044,511,2555,4.3546065e+06,1.0
5,4,255,2810,56.49458179551295,24.263316198377854,0,2555,511,3066,4.435545e+06,1.0
6,4,255,3321,56.49441869583608,24.27871027858073,0,3066,511,3577,4.465401e+06,1.0
7,4,255,3832,56.494255556679086,24.294104353183275,0,3577,511,4088,4.3092015e+06,1.0
8,4,766,255,56.47829797895931,24.18645261864876,511,0,1022,511,4.6407265e+06,1.0
9,4,766,766,56.478133008330595,24.201846678721925,511,511,1022,1022,4.6464285e+06,1.0
10,4,766,1277,56.477967997793236,24.2172407442675,511,1022,1022,1533,4.6034115e+06,1.0
